County,Value_2014
Bernalillo_County,1254
Clark_County,7443
Cook_County,1182
Dallas_County,3514
Davidson_County,2234
Denver_County,6621
Fulton_County,477
Hennepin_County,3731
Jackson_County,1931
King_County,8949
Los_Angeles_County,34393
Maricopa_County,5918
Marion_County,1890
Mecklenburg_County,2014
Miami_Dade_County,4156
New_York_County,67810
Philadelphia_County,5738
San_Francisco_County,6408
Suffolk_County,5987
Wayne_County,2755
